fig7_lvd_azimuth_deg,rock_int_profile_raw_solid_weighted,fit_scale_to_cm2_s_deg,scaled_profile_cm2_s_deg,paper_fig7_curve_cm2_s_deg
343,,1.605955809938678e-13,,6.676328502415e-11
344,410.71068837449275,1.605955809938678e-13,6.595832161989306e-11,7.12077294686e-11
345,,1.605955809938678e-13,,6.908212560386e-11
346,411.47746451554804,1.605955809938678e-13,6.608146247975806e-11,6.908212560386e-11
347,,1.605955809938678e-13,,7.671497584541e-11
348,455.25352767380747,1.605955809938678e-13,7.311170477628298e-11,7.51690821256e-11
349,,1.605955809938678e-13,,7.51690821256e-11
350,463.72182564288255,1.605955809938678e-13,7.447167600865579e-11,7.468599033816e-11
351,,1.605955809938678e-13,,7.951690821256e-11
352,475.1386145520202,1.605955809938678e-13,7.63051618566031e-11,7.951690821256e-11
353,,1.605955809938678e-13,,8.07729468599e-11
354,504.9617311152384,1.605955809938678e-13,8.109462258812098e-11,8.154589371981e-11
355,,1.605955809938678e-13,,8.31884057971e-11
356,508.2961346601802,1.605955809938678e-13,8.16301130626889e-11,8.31884057971e-11
357,,1.605955809938678e-13,,8.405797101449e-11
358,586.2967880373226,1.605955809938678e-13,9.415667330969239e-11,8.63768115942e-11
359,,1.605955809938678e-13,,8.63768115942e-11
